driver_id,driver_name,phone,license_number,vehicle_id,joining_date
DRV_0001,Deepak Ghosh,+919428176954,RJ20157416943,VH_0001,2024-05-06
DRV_0002,Rahul Das,+919798824290,WB20126834610,VH_0002,2024-10-22
DRV_0003,Mohit Kulkarni,+918680980044,KA20214736121,VH_0003,2023-10-21
DRV_0004,Ramesh Kumar,+918972143331,WB20169924365,VH_0004,2024-06-10
DRV_0005,Sanjay Reddy,+918456460773,KA20144162177,VH_0005,2023-09-30
DRV_0006,Naresh Singh,+917398610233,RJ20191262492,VH_0006,2024-08-20
DRV_0007,Vijay Sharma,+919689717834,MH20171816653,VH_0007,2024-08-18
DRV_0008,Mahesh Das,+918441452485,WB20131946973,VH_0008,2024-10-11
DRV_0009,Deepak Reddy,+917287324220,GJ20196379867,VH_0009,2024-08-22
DRV_0010,Ashok Gupta,+917779961132,TN20166041569,VH_0010,2024-08-03
DRV_0011,Rajesh Kulkarni,+918033505978,RJ20189315137,VH_0011,2024-11-27
DRV_0012,Sunil Shinde,+917761157708,WB20157984768,VH_0012,2024-05-26
DRV_0013,Sumit Pillai,+918634679818,WB20175042775,VH_0013,2023-10-14
DRV_0014,Sanjay Pillai,+917129374563,UP20107923579,VH_0014,2024-05-22
DRV_0015,Amit Das,+919144224936,TN20152326581,VH_0015,2024-05-05
DRV_0016,Anil Sharma,+918135566010,MH20147327828,VH_0016,2024-01-12
DRV_0017,Mahesh Sharma,+919388864147,WB20139042900,VH_0017,2024-09-06
DRV_0018,Manoj Pillai,+919838428357,TN20212968239,VH_0018,2023-12-05
DRV_0019,Prakash Reddy,+917691121400,TN20165015307,VH_0019,2024-03-14
DRV_0020,Vinod Pillai,+918672579077,WB20207027375,VH_0020,2024-07-17
DRV_0021,Arun Menon,+918276743428,UP20118876742,VH_0021,2023-11-28
DRV_0022,Vinod Patel,+918751999682,RJ20104712363,VH_0022,2023-12-08
DRV_0023,Sumit Kumar,+919084264220,MP20198005797,VH_0023,2024-07-23
DRV_0024,Sumit Patel,+918840872577,RJ20195122665,VH_0024,2024-04-10
DRV_0025,Manoj Nair,+917475581613,UP20173822492,VH_0025,2023-12-12
DRV_0026,Sunil Yadav,+919583356206,UP20121985360,VH_0026,2024-03-28
DRV_0027,Mahesh Sharma,+917299686372,MH20221107102,VH_0027,2024-05-24
DRV_0028,Amit Shinde,+919119122502,KA20104669507,VH_0028,2024-04-07
DRV_0029,Santosh Menon,+919992924441,MP20179184838,VH_0029,2024-12-13
DRV_0030,Ramesh Kulkarni,+918165208920,MH20109882154,VH_0030,2023-12-18
DRV_0031,Pradeep Kulkarni,+918912300840,WB20238223819,VH_0031,2023-11-05
DRV_0032,Mohit Verma,+919680381817,KA20134220085,VH_0032,2024-02-08
DRV_0033,Arun Menon,+919063270536,DL20157812009,VH_0033,2024-04-30
DRV_0034,Ravi More,+919150261914,DL20201531577,VH_0034,2024-11-04
DRV_0035,Sachin Das,+918684182331,UP20101158547,VH_0035,2023-12-28
DRV_0036,Rohit Sharma,+918368238367,GJ20192599906,VH_0036,2023-09-20
DRV_0037,Mahesh Reddy,+919386072480,UP20141781180,VH_0037,2024-11-13
DRV_0038,Pradeep Kulkarni,+918098329927,MH20126276177,VH_0038,2024-12-13
DRV_0039,Vijay Deshmukh,+919563458386,DL20143725462,VH_0039,2024-03-08
DRV_0040,Ravi Deshmukh,+917262231715,WB20157439870,VH_0040,2023-12-01
DRV_0041,Amit More,+917520526386,WB20216802559,VH_0041,2024-11-24
DRV_0042,Mukesh Ghosh,+919120202996,GJ20197655572,VH_0042,2023-11-21
DRV_0043,Vinod Kumar,+917846685332,UP20174827527,VH_0043,2024-06-22
DRV_0044,Rahul Ghosh,+919488634827,RJ20115955645,VH_0044,2023-11-09
DRV_0045,Ravi More,+919721010955,AP20127375341,VH_0045,2023-12-23
DRV_0046,Sumit Pawar,+918652503832,GJ20112535458,VH_0046,2024-12-19
DRV_0047,Ashok Banerjee,+918746207439,DL20122464604,VH_0047,2024-09-17
DRV_0048,Nitin Banerjee,+918184455942,WB20162732967,VH_0048,2024-12-08
DRV_0049,Ganesh Menon,+918122490873,MP20196443037,VH_0049,2023-10-06
DRV_0050,Rahul Kumar,+918965540647,RJ20222421022,VH_0050,2023-12-16
DRV_0051,Ravi Deshmukh,+918232761034,RJ20123329349,VH_0051,2024-08-06
DRV_0052,Ashok Nair,+918329587040,DL20128292657,VH_0052,2024-08-02
DRV_0053,Vikas Pillai,+918320324210,GJ20145137094,VH_0053,2023-12-18
DRV_0054,Satish Patil,+917936246038,UP20113273137,VH_0054,2024-07-19
DRV_0055,Ramesh Das,+918893240786,RJ20226528792,VH_0055,2024-05-10
DRV_0056,Manoj Ghosh,+917297380687,MP20126040467,VH_0056,2024-07-10
DRV_0057,Ajay Chatterjee,+918833842070,RJ20155889688,VH_0057,2023-12-11
